Chr_id	Chr_pos	SNPs	p-Value	Disease/Trait
chr4	76277833	rs6812193	4E-7	Parkinson's disease
chr4	76277833	rs6812193	8E-10	Parkinson's disease
chr4	1316113	rs6815464	2E-20	Type 2 diabetes
chr4	1316113	rs6815464	2E-7	Type 2 diabetes
chr4	48361966	rs6837335	2E-8	Crohn's disease
chr4	38323415	rs6856616	4E-14	Crohn's disease
chr5	159395637	rs6887695	9E-6	Crohn's disease
chr5	35874473	rs6897932	8E-6	Type 1 diabetes
chr6	20728500	rs6908425	1E-8	Crohn's disease
chr6	20728500	rs6908425	9E-10	Crohn's disease
chr6	20703721	rs6931514	1E-11	Type 2 diabetes
chr11	64329761	rs694739	6E-10	Crohn's disease
chr8	89863690	rs7015630	1E-8	Crohn's disease
chr9	22137686	rs7018475	3E-8	Type 2 diabetes
chr9	4291747	rs7020673	5E-12	Type 1 diabetes
chr9	22129580	rs7020996	2E-7	Type 2 diabetes
chr9	4287466	rs7041847	2E-14	Type 2 diabetes
chr10	62655424	rs7076156	7E-9	Crohn's disease
chr10	15519544	rs7077361	5E-6	Parkinson's disease
chr11	129603795	rs7107217	3E-7	Type 2 diabetes
chr11	2191936	rs7111341	4E-48	Type 1 diabetes
chr11	96375264	rs7118648	2E-7	Parkinson's disease
chr15	77485290	rs7119	5E-7	Type 2 diabetes
chr22	30196498	rs713875	7E-12	Crohn's disease
chr15	62104190	rs7172432	1E-6	Type 2 diabetes
chr15	62104190	rs7172432	9E-14	Type 2 diabetes
chr15	77454848	rs7178572	1E-8	Type 2 diabetes
chr15	77454848	rs7178572	7E-11	Type 2 diabetes
chr16	75213347	rs7202877	3E-15	Type 1 diabetes
chr17	40614034	rs7221109	1E-9	Type 1 diabetes
chr11	72959855	rs72981516	4E-7	Crohn's disease
chr12	120965129	rs7305618	2E-8	Type 2 diabetes
chr14	100676553	rs730570	8E-6	Type 2 diabetes
chr13	40983974	rs7329174	8E-9	Crohn's disease
chr19	33266156	rs736289	9E-9	Crohn's disease
chr15	38530704	rs7403531	4E-9	Type 2 diabetes
chr19	1124836	rs740495	8E-12	Crohn's disease
chr2	230252159	rs7423615	3E-13	Crohn's disease
chr17	42362183	rs744166	7E-12	Crohn's disease
chr6	33796256	rs751728	1E-8	Crohn's disease
chr1	172884320	rs7517810	2E-15	Crohn's disease
chr1	67215986	rs7517847	3E-12	Crohn's disease
chr1	94604485	rs7542900	6E-6	Type 2 diabetes
chr1	24946709	rs7551188	9E-6	Crohn's disease
chr1	200908434	rs7554511	2E-7	Crohn's disease
chr2	150781422	rs7560163	7E-9	Type 2 diabetes
chr2	226155937	rs7578326	5E-20	Type 2 diabetes
chr2	43505684	rs7578597	1E-9	Type 2 diabetes
chr2	160314943	rs7593730	4E-8	Type 2 diabetes
chr3	28664273	rs7617877	3E-6	Parkinson's disease
chr21	44195678	rs762421	1E-9	Crohn's disease
chr3	179943530	rs7630877	7E-6	Type 2 diabetes
chr18	69864406	rs763361	1E-8	Type 1 diabetes
chr7	100892456	rs7636	5E-6	Type 2 diabetes
chr1	67182913	rs76418789	2E-10	Crohn's disease
chr4	1260747	rs7656416	1E-8	Type 2 diabetes
chr4	121744359	rs7659604	9E-6	Type 2 diabetes
chr5	9332169	rs7702187	8E-6	Parkinson's disease
chr5	73255307	rs7702331	6E-10	Crohn's disease
chr5	73255307	rs7702331	6E-12	Crohn's disease
chr5	102611094	rs7705924	2E-8	Crohn's disease
chr5	150890858	rs7714584	8E-19	Crohn's disease
chr6	105987394	rs7746082	2E-10	Crohn's disease
chr6	20661019	rs7754840	2E-13	Type 2 diabetes
chr6	20661019	rs7754840	4E-11	Type 2 diabetes
chr6	20661019	rs7754840	4E-11	Type 2 diabetes
chr6	20661019	rs7754840	7E-10	Type 2 diabetes
chr6	20679478	rs7756992	8E-9	Type 2 diabetes
chr6	32713151	rs7765379	9E-59	Crohn's disease
chr6	20686342	rs7766070	6E-11	Type 2 diabetes
chr6	20686342	rs7766070	7E-10	Type 2 diabetes
chr2	27519736	rs780093	5E-11	Crohn's disease
chr7	26852046	rs7804356	5E-9	Type 1 diabetes
chr7	148560956	rs7807268	4E-6	Crohn's disease
chr10	112994329	rs7901695	1E-48	Type 2 diabetes
chr10	112998590	rs7903146	1E-35	Type 2 diabetes
chr10	112998590	rs7903146	1E-8	Type 2 diabetes
chr10	112998590	rs7903146	2E-10	Type 2 diabetes
chr10	112998590	rs7903146	2E-15	Type 2 diabetes
chr10	112998590	rs7903146	2E-15	Type 2 diabetes
chr10	112998590	rs7903146	2E-31	Type 2 diabetes
chr10	112998590	rs7903146	2E-34	Type 2 diabetes
chr10	112998590	rs7903146	2E-38	Type 2 diabetes
chr10	112998590	rs7903146	2E-40	Type 2 diabetes
chr10	112998590	rs7903146	2E-51	Type 2 diabetes
chr10	112998590	rs7903146	3E-19	Type 2 diabetes
chr10	112998590	rs7903146	3E-23	Type 2 diabetes
chr10	112998590	rs7903146	3E-35	Type 2 diabetes
chr10	112998590	rs7903146	4E-21	Type 2 diabetes
chr10	112998590	rs7903146	5E-8	Type 2 diabetes
chr10	112998590	rs7903146	6E-16	Type 2 diabetes
chr10	112998590	rs7903146	6E-22	Type 2 diabetes
chr10	112998590	rs7903146	8E-12	Type 2 diabetes
chr10	112998590	rs7903146	9E-30	Type 2 diabetes
chr10	112998590	rs7903146	9E-75	Type 2 diabetes
chr7	128222749	rs791595	3E-13	Type 2 diabetes
chr11	76590272	rs7927894	1E-9	Crohn's disease
chr11	76590331	rs7927997	6E-13	Crohn's disease
chr12	121022883	rs7957197	2E-8	Type 2 diabetes
chr12	71269322	rs7961581	1E-9	Type 2 diabetes
chr14	88006251	rs8005161	4E-18	Crohn's disease
chr15	38546063	rs8035957	4E-6	Type 1 diabetes
chr15	90978107	rs8042680	2E-10	Type 2 diabetes
chr16	53782363	rs8050136	1E-12	Type 2 diabetes
chr16	53782363	rs8050136	2E-17	Type 2 diabetes
chr16	53782363	rs8050136	6E-6	Type 2 diabetes
chr16	53782363	rs8050136	7E-14	Type 2 diabetes
chr16	53782363	rs8050136	7E-6	Type 2 diabetes
chr17	46003698	rs8070723	7E-12	Parkinson's disease
chr18	7068463	rs8090011	8E-9	Type 2 diabetes
chr11	2810311	rs8181588	5E-9	Type 2 diabetes
chr1	205744250	rs823128	7E-8	Parkinson's disease
chr1	205795512	rs823156	1E-7	Parkinson's disease
chr3	64062621	rs831571	8E-11	Type 2 diabetes
chr7	28156603	rs849134	3E-9	Type 2 diabetes
chr7	28140937	rs864745	4E-9	Crohn's disease
chr7	28140937	rs864745	5E-14	Type 2 diabetes
chr8	94948283	rs896854	1E-9	Type 2 diabetes
chr6	170063801	rs924043	8E-9	Type 1 diabetes
chr6	29755384	rs9258260	2E-10	Crohn's disease
chr6	31306603	rs9264942	5E-28	Crohn's disease
chr6	32237333	rs9267911	3E-7	Crohn's disease
chr6	32440750	rs9268645	1E-100	Type 1 diabetes
chr6	32619077	rs9271366	5E-12	Crohn's disease
chr6	32636595	rs9272346	5E-134	Type 1 diabetes
chr6	32636595	rs9272346	6E-129	Type 1 diabetes
chr1	172893094	rs9286879	2E-9	Crohn's disease
chr1	172893094	rs9286879	6E-22	Crohn's disease
chr5	40437846	rs9292777	2E-11	Crohn's disease
chr5	40437846	rs9292777	3E-18	Crohn's disease
chr6	20652486	rs9295474	9E-6	Type 2 diabetes
chr11	41893816	rs9300039	6E-8	Type 2 diabetes
chr16	50685192	rs9302752	4E-40	Leprosy
chr6	31607499	rs9348876	3E-6	Crohn's disease
chr6	126377573	rs9388489	4E-13	Type 1 diabetes
chr14	100839708	rs941576	1E-10	Type 1 diabetes
chr6	20717024	rs9465871	3E-7	Type 2 diabetes
chr6	32690533	rs9469220	2E-6	Crohn's disease
chr6	38139068	rs9470794	2E-10	Type 2 diabetes
chr1	205783537	rs947211	2E-12	Parkinson's disease
chr6	43844025	rs9472138	4E-6	Type 2 diabetes
chr10	6348488	rs947474	4E-9	Type 1 diabetes
chr6	127134977	rs9491697	4E-10	Crohn's disease
chr13	23290518	rs9552911	2E-8	Type 2 diabetes
chr2	100208905	rs9653442	5E-6	Type 1 diabetes
chr7	130782095	rs972283	2E-10	Type 2 diabetes
chr13	77807011	rs975739	2E-14	Hair color
chr3	49664550	rs9858542	4E-8	Crohn's disease
chr3	49664550	rs9858542	5E-8	Crohn's disease
chr17	42355962	rs9891119	2E-15	Crohn's disease
chr2	168286525	rs9917256	3E-6	Parkinson's disease
chr16	53786615	rs9939609	1E-20	Type 2 diabetes
chr16	53786615	rs9939609	2E-7	Type 2 diabetes
chr21	42416281	rs9976767	2E-8	Type 1 diabetes
